note_str,instrument,pitch,velocity,n_frames
string_acoustic_016-040-050,string_acoustic_016,40,50,38
string_acoustic_016-040-075,string_acoustic_016,40,75,38
string_acoustic_016-040-100,string_acoustic_016,40,100,38
string_acoustic_016-040-127,string_acoustic_016,40,127,38
string_acoustic_017-040-025,string_acoustic_017,40,25,38
string_acoustic_017-040-050,string_acoustic_017,40,50,38
string_acoustic_017-040-075,string_acoustic_017,40,75,38
string_acoustic_017-040-100,string_acoustic_017,40,100,38
string_acoustic_017-040-127,string_acoustic_017,40,127,38
string_acoustic_018-040-025,string_acoustic_018,40,25,38
string_acoustic_018-040-050,string_acoustic_018,40,50,38
string_acoustic_018-040-075,string_acoustic_018,40,75,38
string_acoustic_018-040-100,string_acoustic_018,40,100,38
string_acoustic_018-040-127,string_acoustic_018,40,127,38
string_acoustic_019-040-025,string_acoustic_019,40,25,38
string_acoustic_019-040-050,string_acoustic_019,40,50,38
string_acoustic_019-040-075,string_acoustic_019,40,75,38
string_acoustic_019-040-100,string_acoustic_019,40,100,38
string_acoustic_019-040-127,string_acoustic_019,40,127,38
string_acoustic_021-040-025,string_acoustic_021,40,25,38
string_acoustic_021-040-050,string_acoustic_021,40,50,38
string_acoustic_021-040-075,string_acoustic_021,40,75,38
string_acoustic_021-040-100,string_acoustic_021,40,100,38
string_acoustic_021-040-127,string_acoustic_021,40,127,38
string_acoustic_022-040-025,string_acoustic_022,40,25,38
string_acoustic_022-040-050,string_acoustic_022,40,50,38
string_acoustic_022-040-075,string_acoustic_022,40,75,38
string_acoustic_022-040-100,string_acoustic_022,40,100,38
string_acoustic_022-040-127,string_acoustic_022,40,127,38
string_acoustic_024-040-025,string_acoustic_024,40,25,38
string_acoustic_024-040-050,string_acoustic_024,40,50,38
string_acoustic_024-040-075,string_acoustic_024,40,75,38
string_acoustic_024-040-100,string_acoustic_024,40,100,38
string_acoustic_024-040-127,string_acoustic_024,40,127,38
string_acoustic_028-040-025,string_acoustic_028,40,25,38
string_acoustic_028-040-050,string_acoustic_028,40,50,38
string_acoustic_028-040-075,string_acoustic_028,40,75,38
string_acoustic_028-040-100,string_acoustic_028,40,100,38
string_acoustic_028-040-127,string_acoustic_028,40,127,38
string_acoustic_029-040-025,string_acoustic_029,40,25,38
string_acoustic_029-040-050,string_acoustic_029,40,50,38
string_acoustic_029-040-075,string_acoustic_029,40,75,38
string_acoustic_029-040-100,string_acoustic_029,40,100,38
string_acoustic_029-040-127,string_acoustic_029,40,127,38
string_acoustic_030-040-025,string_acoustic_030,40,25,38
string_acoustic_030-040-050,string_acoustic_030,40,50,38
string_acoustic_030-040-075,string_acoustic_030,40,75,38
string_acoustic_030-040-100,string_acoustic_030,40,100,38
string_acoustic_030-040-127,string_acoustic_030,40,127,38
string_acoustic_033-040-025,string_acoustic_033,40,25,38
string_acoustic_033-040-050,string_acoustic_033,40,50,38
string_acoustic_033-040-075,string_acoustic_033,40,75,38
string_acoustic_033-040-100,string_acoustic_033,40,100,38
string_acoustic_033-040-127,string_acoustic_033,40,127,38
string_acoustic_037-040-025,string_acoustic_037,40,25,38
string_acoustic_037-040-050,string_acoustic_037,40,50,38
string_acoustic_037-040-075,string_acoustic_037,40,75,38
string_acoustic_037-040-100,string_acoustic_037,40,100,38
string_acoustic_037-040-127,string_acoustic_037,40,127,38
string_acoustic_038-040-025,string_acoustic_038,40,25,38
string_acoustic_038-040-050,string_acoustic_038,40,50,38
string_acoustic_038-040-075,string_acoustic_038,40,75,38
string_acoustic_038-040-100,string_acoustic_038,40,100,38
string_acoustic_038-040-127,string_acoustic_038,40,127,38
string_acoustic_039-040-025,string_acoustic_039,40,25,38
string_acoustic_039-040-050,string_acoustic_039,40,50,38
string_acoustic_039-040-075,string_acoustic_039,40,75,36
string_acoustic_039-040-100,string_acoustic_039,40,100,38
string_acoustic_039-040-127,string_acoustic_039,40,127,29
string_acoustic_042-040-025,string_acoustic_042,40,25,38
string_acoustic_042-040-050,string_acoustic_042,40,50,38
string_acoustic_042-040-075,string_acoustic_042,40,75,38
string_acoustic_042-040-100,string_acoustic_042,40,100,38
string_acoustic_042-040-127,string_acoustic_042,40,127,38
string_acoustic_043-040-025,string_acoustic_043,40,25,38
string_acoustic_043-040-050,string_acoustic_043,40,50,38
string_acoustic_043-040-075,string_acoustic_043,40,75,38
string_acoustic_043-040-100,string_acoustic_043,40,100,38
string_acoustic_043-040-127,string_acoustic_043,40,127,38
string_acoustic_044-040-025,string_acoustic_044,40,25,38
string_acoustic_044-040-050,string_acoustic_044,40,50,38
string_acoustic_044-040-075,string_acoustic_044,40,75,38
string_acoustic_044-040-100,string_acoustic_044,40,100,38
string_acoustic_044-040-127,string_acoustic_044,40,127,38
string_acoustic_045-040-025,string_acoustic_045,40,25,38
string_acoustic_045-040-050,string_acoustic_045,40,50,38
string_acoustic_045-040-075,string_acoustic_045,40,75,38
string_acoustic_045-040-100,string_acoustic_045,40,100,38
string_acoustic_045-040-127,string_acoustic_045,40,127,38
string_acoustic_048-040-025,string_acoustic_048,40,25,38
string_acoustic_048-040-050,string_acoustic_048,40,50,38
string_acoustic_048-040-075,string_acoustic_048,40,75,38
string_acoustic_048-040-100,string_acoustic_048,40,100,38
string_acoustic_048-040-127,string_acoustic_048,40,127,38
string_acoustic_051-040-025,string_acoustic_051,40,25,38
string_acoustic_051-040-050,string_acoustic_051,40,50,38
string_acoustic_051-040-075,string_acoustic_051,40,75,38
string_acoustic_051-040-100,string_acoustic_051,40,100,38
string_acoustic_051-040-127,string_acoustic_051,40,127,38
string_acoustic_052-040-025,string_acoustic_052,40,25,38
string_acoustic_052-040-050,string_acoustic_052,40,50,38
string_acoustic_052-040-075,string_acoustic_052,40,75,38
string_acoustic_052-040-100,string_acoustic_052,40,100,38
string_acoustic_052-040-127,string_acoustic_052,40,127,38
string_acoustic_060-040-025,string_acoustic_060,40,25,38
string_acoustic_060-040-050,string_acoustic_060,40,50,38
string_acoustic_060-040-075,string_acoustic_060,40,75,38
string_acoustic_060-040-100,string_acoustic_060,40,100,38
string_acoustic_060-040-127,string_acoustic_060,40,127,38
string_acoustic_061-040-025,string_acoustic_061,40,25,38
string_acoustic_061-040-050,string_acoustic_061,40,50,38
string_acoustic_061-040-075,string_acoustic_061,40,75,38
string_acoustic_061-040-100,string_acoustic_061,40,100,38
string_acoustic_061-040-127,string_acoustic_061,40,127,38
string_acoustic_062-040-025,string_acoustic_062,40,25,38
string_acoustic_062-040-050,string_acoustic_062,40,50,38
string_acoustic_062-040-075,string_acoustic_062,40,75,38
string_acoustic_062-040-100,string_acoustic_062,40,100,33
string_acoustic_062-040-127,string_acoustic_062,40,127,26
string_acoustic_063-040-025,string_acoustic_063,40,25,38
string_acoustic_063-040-050,string_acoustic_063,40,50,38
string_acoustic_063-040-075,string_acoustic_063,40,75,38
string_acoustic_063-040-100,string_acoustic_063,40,100,38
string_acoustic_063-040-127,string_acoustic_063,40,127,38
string_acoustic_064-040-025,string_acoustic_064,40,25,38
string_acoustic_064-040-050,string_acoustic_064,40,50,38
string_acoustic_064-040-075,string_acoustic_064,40,75,38
string_acoustic_064-040-100,string_acoustic_064,40,100,38
string_acoustic_064-040-127,string_acoustic_064,40,127,38
string_acoustic_068-040-025,string_acoustic_068,40,25,38
string_acoustic_068-040-050,string_acoustic_068,40,50,38
string_acoustic_068-040-075,string_acoustic_068,40,75,38
string_acoustic_068-040-100,string_acoustic_068,40,100,38
string_acoustic_068-040-127,string_acoustic_068,40,127,38
string_acoustic_069-040-025,string_acoustic_069,40,25,38
string_acoustic_069-040-050,string_acoustic_069,40,50,38
string_acoustic_069-040-075,string_acoustic_069,40,75,38
string_acoustic_069-040-100,string_acoustic_069,40,100,38
string_acoustic_069-040-127,string_acoustic_069,40,127,38
string_acoustic_073-040-025,string_acoustic_073,40,25,38
string_acoustic_073-040-050,string_acoustic_073,40,50,38
string_acoustic_073-040-075,string_acoustic_073,40,75,38
string_acoustic_073-040-100,string_acoustic_073,40,100,38
string_acoustic_073-040-127,string_acoustic_073,40,127,38
string_acoustic_077-040-025,string_acoustic_077,40,25,38
string_acoustic_077-040-050,string_acoustic_077,40,50,38
string_acoustic_077-040-075,string_acoustic_077,40,75,38
string_acoustic_077-040-100,string_acoustic_077,40,100,38
string_acoustic_077-040-127,string_acoustic_077,40,127,38
string_acoustic_079-040-025,string_acoustic_079,40,25,38
string_acoustic_079-040-050,string_acoustic_079,40,50,38
string_acoustic_079-040-075,string_acoustic_079,40,75,38
string_acoustic_079-040-100,string_acoustic_079,40,100,33
string_acoustic_079-040-127,string_acoustic_079,40,127,33
string_acoustic_081-040-025,string_acoustic_081,40,25,38
string_acoustic_081-040-050,string_acoustic_081,40,50,38
string_acoustic_081-040-075,string_acoustic_081,40,75,38
string_acoustic_081-040-100,string_acoustic_081,40,100,33
string_acoustic_081-040-127,string_acoustic_081,40,127,33
string_acoustic_082-040-025,string_acoustic_082,40,25,38
string_acoustic_082-040-050,string_acoustic_082,40,50,38
string_acoustic_082-040-075,string_acoustic_082,40,75,38
string_acoustic_082-040-100,string_acoustic_082,40,100,38
string_acoustic_082-040-127,string_acoustic_082,40,127,38
string_acoustic_087-040-025,string_acoustic_087,40,25,38
string_acoustic_087-040-050,string_acoustic_087,40,50,38
string_acoustic_087-040-075,string_acoustic_087,40,75,38
string_acoustic_087-040-100,string_acoustic_087,40,100,38
string_acoustic_087-040-127,string_acoustic_087,40,127,38
string_acoustic_089-040-025,string_acoustic_089,40,25,38
string_acoustic_089-040-050,string_acoustic_089,40,50,38
string_acoustic_089-040-075,string_acoustic_089,40,75,38
string_acoustic_089-040-100,string_acoustic_089,40,100,38
string_acoustic_089-040-127,string_acoustic_089,40,127,38
string_acoustic_000-041-025,string_acoustic_000,41,25,30
string_acoustic_000-041-050,string_acoustic_000,41,50,30
string_acoustic_000-041-075,string_acoustic_000,41,75,30
string_acoustic_000-041-100,string_acoustic_000,41,100,32
string_acoustic_000-041-127,string_acoustic_000,41,127,32
string_acoustic_002-041-025,string_acoustic_002,41,25,37
string_acoustic_002-041-050,string_acoustic_002,41,50,37
string_acoustic_002-041-075,string_acoustic_002,41,75,38
string_acoustic_002-041-100,string_acoustic_002,41,100,36
string_acoustic_002-041-127,string_acoustic_002,41,127,38
string_acoustic_005-041-025,string_acoustic_005,41,25,35
string_acoustic_005-041-050,string_acoustic_005,41,50,35
string_acoustic_005-041-075,string_acoustic_005,41,75,38
string_acoustic_005-041-100,string_acoustic_005,41,100,38
string_acoustic_005-041-127,string_acoustic_005,41,127,38
string_acoustic_007-041-025,string_acoustic_007,41,25,38
string_acoustic_007-041-050,string_acoustic_007,41,50,38
string_acoustic_007-041-075,string_acoustic_007,41,75,38
string_acoustic_007-041-100,string_acoustic_007,41,100,38
string_acoustic_007-041-127,string_acoustic_007,41,127,38
string_acoustic_008-041-025,string_acoustic_008,41,25,38
string_acoustic_008-041-050,string_acoustic_008,41,50,38
string_acoustic_008-041-075,string_acoustic_008,41,75,38
string_acoustic_008-041-100,string_acoustic_008,41,100,38
string_acoustic_008-041-127,string_acoustic_008,41,127,38
string_acoustic_010-041-025,string_acoustic_010,41,25,28
string_acoustic_010-041-050,string_acoustic_010,41,50,28
string_acoustic_010-041-075,string_acoustic_010,41,75,33
string_acoustic_010-041-100,string_acoustic_010,41,100,33
string_acoustic_011-041-025,string_acoustic_011,41,25,38
string_acoustic_011-041-050,string_acoustic_011,41,50,38
string_acoustic_011-041-075,string_acoustic_011,41,75,38
string_acoustic_011-041-100,string_acoustic_011,41,100,38
string_acoustic_011-041-127,string_acoustic_011,41,127,38
string_acoustic_013-041-025,string_acoustic_013,41,25,38
string_acoustic_013-041-050,string_acoustic_013,41,50,38
string_acoustic_013-041-075,string_acoustic_013,41,75,38
string_acoustic_013-041-100,string_acoustic_013,41,100,38
string_acoustic_013-041-127,string_acoustic_013,41,127,38
string_acoustic_015-041-025,string_acoustic_015,41,25,38
string_acoustic_015-041-050,string_acoustic_015,41,50,38
string_acoustic_015-041-075,string_acoustic_015,41,75,38
string_acoustic_015-041-100,string_acoustic_015,41,100,38
string_acoustic_015-041-127,string_acoustic_015,41,127,38
string_acoustic_016-041-025,string_acoustic_016,41,25,38
string_acoustic_016-041-050,string_acoustic_016,41,50,38
string_acoustic_016-041-075,string_acoustic_016,41,75,38
string_acoustic_016-041-100,string_acoustic_016,41,100,38
string_acoustic_016-041-127,string_acoustic_016,41,127,38
string_acoustic_017-041-025,string_acoustic_017,41,25,38
string_acoustic_017-041-050,string_acoustic_017,41,50,38
string_acoustic_017-041-075,string_acoustic_017,41,75,38
string_acoustic_017-041-100,string_acoustic_017,41,100,38
string_acoustic_017-041-127,string_acoustic_017,41,127,38
string_acoustic_018-041-025,string_acoustic_018,41,25,38
string_acoustic_018-041-050,string_acoustic_018,41,50,38
string_acoustic_018-041-075,string_acoustic_018,41,75,38
string_acoustic_018-041-100,string_acoustic_018,41,100,38
string_acoustic_018-041-127,string_acoustic_018,41,127,38
string_acoustic_019-041-025,string_acoustic_019,41,25,38
string_acoustic_019-041-050,string_acoustic_019,41,50,38
string_acoustic_019-041-075,string_acoustic_019,41,75,38
string_acoustic_019-041-100,string_acoustic_019,41,100,38
string_acoustic_019-041-127,string_acoustic_019,41,127,38
string_acoustic_021-041-025,string_acoustic_021,41,25,38
string_acoustic_021-041-050,string_acoustic_021,41,50,38
string_acoustic_021-041-075,string_acoustic_021,41,75,38
string_acoustic_021-041-100,string_acoustic_021,41,100,38
string_acoustic_021-041-127,string_acoustic_021,41,127,38
string_acoustic_022-041-025,string_acoustic_022,41,25,38
string_acoustic_022-041-050,string_acoustic_022,41,50,38
string_acoustic_022-041-075,string_acoustic_022,41,75,38
string_acoustic_022-041-100,string_acoustic_022,41,100,38
string_acoustic_022-041-127,string_acoustic_022,41,127,38
string_acoustic_024-041-025,string_acoustic_024,41,25,38
string_acoustic_024-041-050,string_acoustic_024,41,50,38
string_acoustic_024-041-075,string_acoustic_024,41,75,38
string_acoustic_024-041-100,string_acoustic_024,41,100,38
string_acoustic_024-041-127,string_acoustic_024,41,127,38
string_acoustic_028-041-100,string_acoustic_028,41,100,35
string_acoustic_028-041-127,string_acoustic_028,41,127,35
string_acoustic_029-041-025,string_acoustic_029,41,25,38
string_acoustic_029-041-050,string_acoustic_029,41,50,38
string_acoustic_029-041-075,string_acoustic_029,41,75,38
string_acoustic_029-041-100,string_acoustic_029,41,100,38
string_acoustic_029-041-127,string_acoustic_029,41,127,38
string_acoustic_030-041-025,string_acoustic_030,41,25,38
string_acoustic_030-041-050,string_acoustic_030,41,50,38
string_acoustic_030-041-075,string_acoustic_030,41,75,38
string_acoustic_030-041-100,string_acoustic_030,41,100,38
string_acoustic_030-041-127,string_acoustic_030,41,127,38
string_acoustic_033-041-025,string_acoustic_033,41,25,38
string_acoustic_033-041-050,string_acoustic_033,41,50,38
string_acoustic_033-041-075,string_acoustic_033,41,75,38
string_acoustic_033-041-100,string_acoustic_033,41,100,38
string_acoustic_033-041-127,string_acoustic_033,41,127,38
string_acoustic_037-041-025,string_acoustic_037,41,25,38
string_acoustic_037-041-050,string_acoustic_037,41,50,38
string_acoustic_037-041-075,string_acoustic_037,41,75,38
string_acoustic_037-041-100,string_acoustic_037,41,100,38
string_acoustic_037-041-127,string_acoustic_037,41,127,38
string_acoustic_038-041-025,string_acoustic_038,41,25,38
string_acoustic_038-041-050,string_acoustic_038,41,50,38
string_acoustic_038-041-075,string_acoustic_038,41,75,38
string_acoustic_038-041-100,string_acoustic_038,41,100,38
string_acoustic_038-041-127,string_acoustic_038,41,127,38
string_acoustic_039-041-025,string_acoustic_039,41,25,38
string_acoustic_039-041-050,string_acoustic_039,41,50,37
string_acoustic_039-041-075,string_acoustic_039,41,75,38
string_acoustic_039-041-100,string_acoustic_039,41,100,36
string_acoustic_042-041-025,string_acoustic_042,41,25,38
string_acoustic_042-041-050,string_acoustic_042,41,50,38
string_acoustic_042-041-075,string_acoustic_042,41,75,38
string_acoustic_042-041-100,string_acoustic_042,41,100,38
string_acoustic_042-041-127,string_acoustic_042,41,127,38
string_acoustic_043-041-025,string_acoustic_043,41,25,38
string_acoustic_043-041-050,string_acoustic_043,41,50,38
string_acoustic_043-041-075,string_acoustic_043,41,75,38
string_acoustic_043-041-100,string_acoustic_043,41,100,38
string_acoustic_043-041-127,string_acoustic_043,41,127,38
string_acoustic_044-041-025,string_acoustic_044,41,25,38
string_acoustic_044-041-050,string_acoustic_044,41,50,38
string_acoustic_044-041-075,string_acoustic_044,41,75,38
string_acoustic_044-041-100,string_acoustic_044,41,100,38
string_acoustic_044-041-127,string_acoustic_044,41,127,38
string_acoustic_045-041-025,string_acoustic_045,41,25,38
string_acoustic_045-041-050,string_acoustic_045,41,50,38
string_acoustic_045-041-075,string_acoustic_045,41,75,38
string_acoustic_045-041-100,string_acoustic_045,41,100,38
string_acoustic_045-041-127,string_acoustic_045,41,127,38
string_acoustic_048-041-025,string_acoustic_048,41,25,38
string_acoustic_048-041-050,string_acoustic_048,41,50,38
string_acoustic_048-041-075,string_acoustic_048,41,75,38
string_acoustic_048-041-100,string_acoustic_048,41,100,38
string_acoustic_048-041-127,string_acoustic_048,41,127,38
string_acoustic_051-041-025,string_acoustic_051,41,25,38
string_acoustic_051-041-050,string_acoustic_051,41,50,38
string_acoustic_051-041-075,string_acoustic_051,41,75,38
string_acoustic_051-041-100,string_acoustic_051,41,100,38
string_acoustic_051-041-127,string_acoustic_051,41,127,38
string_acoustic_052-041-025,string_acoustic_052,41,25,38
string_acoustic_052-041-050,string_acoustic_052,41,50,38
string_acoustic_052-041-075,string_acoustic_052,41,75,38
string_acoustic_052-041-100,string_acoustic_052,41,100,38
string_acoustic_052-041-127,string_acoustic_052,41,127,38
string_acoustic_053-041-127,string_acoustic_053,41,127,38
string_acoustic_060-041-025,string_acoustic_060,41,25,38
string_acoustic_060-041-050,string_acoustic_060,41,50,38
string_acoustic_060-041-075,string_acoustic_060,41,75,38
string_acoustic_060-041-100,string_acoustic_060,41,100,38
string_acoustic_060-041-127,string_acoustic_060,41,127,38
string_acoustic_061-041-025,string_acoustic_061,41,25,38
string_acoustic_061-041-050,string_acoustic_061,41,50,38
string_acoustic_061-041-075,string_acoustic_061,41,75,38
string_acoustic_061-041-100,string_acoustic_061,41,100,38
string_acoustic_061-041-127,string_acoustic_061,41,127,38
string_acoustic_062-041-025,string_acoustic_062,41,25,38
string_acoustic_062-041-050,string_acoustic_062,41,50,38
string_acoustic_062-041-075,string_acoustic_062,41,75,38
string_acoustic_063-041-025,string_acoustic_063,41,25,38
string_acoustic_063-041-050,string_acoustic_063,41,50,38
string_acoustic_063-041-075,string_acoustic_063,41,75,38
string_acoustic_063-041-100,string_acoustic_063,41,100,38
string_acoustic_063-041-127,string_acoustic_063,41,127,38
string_acoustic_064-041-025,string_acoustic_064,41,25,38
string_acoustic_064-041-050,string_acoustic_064,41,50,38
string_acoustic_064-041-075,string_acoustic_064,41,75,38
string_acoustic_064-041-100,string_acoustic_064,41,100,38
string_acoustic_064-041-127,string_acoustic_064,41,127,38
string_acoustic_068-041-025,string_acoustic_068,41,25,36
string_acoustic_068-041-050,string_acoustic_068,41,50,36
string_acoustic_068-041-075,string_acoustic_068,41,75,38
string_acoustic_068-041-100,string_acoustic_068,41,100,36
string_acoustic_068-041-127,string_acoustic_068,41,127,36
string_acoustic_069-041-025,string_acoustic_069,41,25,38
string_acoustic_069-041-050,string_acoustic_069,41,50,38
string_acoustic_069-041-075,string_acoustic_069,41,75,38
string_acoustic_069-041-100,string_acoustic_069,41,100,38
string_acoustic_069-041-127,string_acoustic_069,41,127,38
string_acoustic_073-041-025,string_acoustic_073,41,25,38
string_acoustic_073-041-050,string_acoustic_073,41,50,38
string_acoustic_073-041-075,string_acoustic_073,41,75,38
string_acoustic_073-041-100,string_acoustic_073,41,100,38
string_acoustic_073-041-127,string_acoustic_073,41,127,38
string_acoustic_077-041-025,string_acoustic_077,41,25,38
string_acoustic_077-041-050,string_acoustic_077,41,50,38
string_acoustic_077-041-075,string_acoustic_077,41,75,38
string_acoustic_077-041-100,string_acoustic_077,41,100,38
string_acoustic_077-041-127,string_acoustic_077,41,127,38
string_acoustic_079-041-025,string_acoustic_079,41,25,37
string_acoustic_079-041-050,string_acoustic_079,41,50,37
string_acoustic_079-041-075,string_acoustic_079,41,75,38
string_acoustic_079-041-100,string_acoustic_079,41,100,36
string_acoustic_079-041-127,string_acoustic_079,41,127,36
string_acoustic_081-041-025,string_acoustic_081,41,25,37
string_acoustic_081-041-050,string_acoustic_081,41,50,37
string_acoustic_081-041-075,string_acoustic_081,41,75,38
string_acoustic_081-041-100,string_acoustic_081,41,100,36
string_acoustic_081-041-127,string_acoustic_081,41,127,36
string_acoustic_082-041-025,string_acoustic_082,41,25,38
string_acoustic_082-041-050,string_acoustic_082,41,50,38
string_acoustic_082-041-075,string_acoustic_082,41,75,38
string_acoustic_082-041-100,string_acoustic_082,41,100,38
string_acoustic_082-041-127,string_acoustic_082,41,127,38
string_acoustic_087-041-025,string_acoustic_087,41,25,38
string_acoustic_087-041-050,string_acoustic_087,41,50,38
string_acoustic_087-041-075,string_acoustic_087,41,75,38
string_acoustic_087-041-100,string_acoustic_087,41,100,38
string_acoustic_087-041-127,string_acoustic_087,41,127,38
string_acoustic_089-041-025,string_acoustic_089,41,25,38
string_acoustic_089-041-050,string_acoustic_089,41,50,38
string_acoustic_089-041-075,string_acoustic_089,41,75,38
string_acoustic_089-041-100,string_acoustic_089,41,100,38
string_acoustic_089-041-127,string_acoustic_089,41,127,38
string_acoustic_002-042-075,string_acoustic_002,42,75,33
string_acoustic_002-042-100,string_acoustic_002,42,100,35
string_acoustic_002-042-127,string_acoustic_002,42,127,35
string_acoustic_005-042-025,string_acoustic_005,42,25,35
string_acoustic_005-042-050,string_acoustic_005,42,50,35
string_acoustic_005-042-075,string_acoustic_005,42,75,31
string_acoustic_005-042-100,string_acoustic_005,42,100,31
string_acoustic_005-042-127,string_acoustic_005,42,127,29
string_acoustic_007-042-025,string_acoustic_007,42,25,38
string_acoustic_007-042-050,string_acoustic_007,42,50,38
string_acoustic_007-042-075,string_acoustic_007,42,75,38
string_acoustic_007-042-100,string_acoustic_007,42,100,38
string_acoustic_007-042-127,string_acoustic_007,42,127,38
string_acoustic_008-042-025,string_acoustic_008,42,25,38
string_acoustic_008-042-050,string_acoustic_008,42,50,38
string_acoustic_008-042-075,string_acoustic_008,42,75,38
string_acoustic_008-042-100,string_acoustic_008,42,100,38
string_acoustic_008-042-127,string_acoustic_008,42,127,38
string_acoustic_010-042-075,string_acoustic_010,42,75,31
string_acoustic_010-042-100,string_acoustic_010,42,100,31
string_acoustic_011-042-025,string_acoustic_011,42,25,38
string_acoustic_011-042-050,string_acoustic_011,42,50,38
string_acoustic_011-042-075,string_acoustic_011,42,75,38
string_acoustic_011-042-100,string_acoustic_011,42,100,38
string_acoustic_011-042-127,string_acoustic_011,42,127,38
string_acoustic_013-042-025,string_acoustic_013,42,25,38
string_acoustic_013-042-050,string_acoustic_013,42,50,38
string_acoustic_013-042-075,string_acoustic_013,42,75,38
string_acoustic_013-042-100,string_acoustic_013,42,100,38
string_acoustic_013-042-127,string_acoustic_013,42,127,38
string_acoustic_015-042-025,string_acoustic_015,42,25,38
string_acoustic_015-042-050,string_acoustic_015,42,50,38
string_acoustic_015-042-075,string_acoustic_015,42,75,38
string_acoustic_015-042-100,string_acoustic_015,42,100,38
string_acoustic_015-042-127,string_acoustic_015,42,127,38
string_acoustic_016-042-025,string_acoustic_016,42,25,38
string_acoustic_016-042-050,string_acoustic_016,42,50,38
string_acoustic_016-042-075,string_acoustic_016,42,75,38
string_acoustic_016-042-100,string_acoustic_016,42,100,38
string_acoustic_016-042-127,string_acoustic_016,42,127,38
string_acoustic_017-042-025,string_acoustic_017,42,25,38
string_acoustic_017-042-050,string_acoustic_017,42,50,38
string_acoustic_017-042-075,string_acoustic_017,42,75,38
string_acoustic_017-042-100,string_acoustic_017,42,100,38
string_acoustic_017-042-127,string_acoustic_017,42,127,38
string_acoustic_018-042-025,string_acoustic_018,42,25,38
string_acoustic_018-042-050,string_acoustic_018,42,50,38
string_acoustic_018-042-075,string_acoustic_018,42,75,38
string_acoustic_018-042-100,string_acoustic_018,42,100,38
string_acoustic_018-042-127,string_acoustic_018,42,127,38
string_acoustic_019-042-025,string_acoustic_019,42,25,38
string_acoustic_019-042-050,string_acoustic_019,42,50,38
string_acoustic_019-042-075,string_acoustic_019,42,75,38
string_acoustic_019-042-100,string_acoustic_019,42,100,38
string_acoustic_019-042-127,string_acoustic_019,42,127,38
string_acoustic_021-042-025,string_acoustic_021,42,25,38
string_acoustic_021-042-050,string_acoustic_021,42,50,38
string_acoustic_021-042-075,string_acoustic_021,42,75,38
string_acoustic_021-042-100,string_acoustic_021,42,100,38
string_acoustic_021-042-127,string_acoustic_021,42,127,38
string_acoustic_022-042-025,string_acoustic_022,42,25,38
string_acoustic_022-042-050,string_acoustic_022,42,50,38
string_acoustic_022-042-075,string_acoustic_022,42,75,38
string_acoustic_022-042-100,string_acoustic_022,42,100,38
string_acoustic_022-042-127,string_acoustic_022,42,127,38
