clip_path,target_v,target_a,achieved_v,achieved_a,rating,loudness_gain,timestamp,rater
al_pool/pool_027.wav,-0.406,1.0,-0.406,1.0,1.0,0.1375,2026-07-03T10:39:24.951391,R01
al_pool/pool_038.wav,-1.0,1.0,-1.0,1.0,0.0,0.1038,2026-07-03T10:39:31.976518,R01
al_pool/pool_090.wav,-0.4281,0.4589,-0.4281,0.4589,-1.0,0.1372,2026-07-03T10:39:39.227157,R01
al_pool/pool_116.wav,-0.4763,-0.0804,-0.4763,-0.0804,1.0,0.1954,2026-07-03T10:39:45.693390,R01
al_pool/pool_133.wav,-0.7768,-0.3417,-0.7768,-0.3417,0.0,0.324,2026-07-03T10:39:52.905307,R01
al_pool/pool_003.wav,-0.6396,0.0642,-0.6396,0.0642,0.0,0.7766,2026-07-03T10:40:05.839178,R01
al_pool/pool_066.wav,-0.8907,0.6001,-0.8907,0.6001,0.0,0.345,2026-07-03T10:40:12.103551,R01
al_pool/pool_135.wav,-0.3679,0.626,-0.3679,0.626,0.0,0.2871,2026-07-03T10:40:18.787591,R01
al_pool/pool_012.wav,-0.5391,-0.3714,-0.5391,-0.3714,0.0,0.3047,2026-07-03T10:40:26.718842,R01
al_pool/pool_123.wav,-1.0,-0.2376,-1.0,-0.2376,1.0,0.149,2026-07-03T10:40:34.136482,R01
al_pool/pool_020.wav,-0.5073,0.3405,-0.5073,0.3405,-1.0,0.141,2026-07-03T10:40:41.019201,R01
al_pool/pool_023.wav,-0.7754,-0.0048,-0.7754,-0.0048,0.0,0.379,2026-07-03T10:40:48.872173,R01
al_pool/pool_125.wav,-0.5671,-0.2128,-0.5671,-0.2128,0.0,0.2311,2026-07-03T10:40:58.325330,R01
al_pool/pool_058.wav,-0.4844,0.7542,-0.4844,0.7542,1.0,0.3245,2026-07-03T10:41:05.107808,R01
al_pool/pool_091.wav,-0.6206,0.5541,-0.6206,0.5541,1.0,0.1313,2026-07-03T10:41:11.915421,R01
al_pool/pool_087.wav,-0.8502,0.8605,-0.8502,0.8605,-1.0,0.4189,2026-07-03T10:41:18.208909,R01
al_pool/pool_037.wav,-0.6563,0.888,-0.6563,0.888,1.0,0.1077,2026-07-03T10:41:25.144303,R01
al_pool/pool_062.wav,-0.6495,0.3042,-0.6495,0.3042,0.0,0.2993,2026-07-03T10:41:30.469816,R01
al_pool/pool_026.wav,-1.0,0.6284,-1.0,0.6284,0.0,0.8509,2026-07-03T10:41:37.812435,R01
al_pool/pool_032.wav,-0.6313,-0.6243,-0.6313,-0.6243,0.0,1.3882,2026-07-03T10:41:44.438238,R01
al_pool/pool_061.wav,-1.0,1.0,-1.0,1.0,0.0,0.4263,2026-07-03T10:41:51.267669,R01
al_pool/pool_103.wav,-0.9453,0.3118,-0.9453,0.3118,1.0,0.0936,2026-07-03T10:42:00.203311,R01
al_pool/pool_077.wav,-0.2807,0.3394,-0.2807,0.3394,0.0,0.4853,2026-07-03T10:42:07.100377,R01
al_pool/pool_079.wav,-0.8392,-0.4515,-0.8392,-0.4515,-1.0,0.2381,2026-07-03T10:42:11.714557,R01
al_pool/pool_093.wav,-0.8828,0.4544,-0.8828,0.4544,1.0,0.111,2026-07-03T10:42:16.663452,R01
al_pool/pool_115.wav,-0.7468,-0.1996,-0.7468,-0.1996,1.0,1.5415,2026-07-03T10:42:23.699518,R01
al_pool/pool_053.wav,-1.0,0.1415,-1.0,0.1415,-1.0,1.434,2026-07-03T10:42:30.128993,R01
al_pool/pool_039.wav,-0.5122,0.1044,-0.5122,0.1044,0.0,0.4943,2026-07-03T10:42:41.550034,R01
al_pool/pool_121.wav,-0.3415,1.0,-0.3415,1.0,-1.0,0.097,2026-07-03T10:42:47.368212,R01
al_pool/pool_078.wav,-1.0,1.0,-1.0,1.0,1.0,0.3649,2026-07-03T10:43:05.818087,R01
al_pool/pool_126.wav,-0.3908,1.0,-0.3908,1.0,1.0,0.7817,2026-07-03T10:43:12.222562,R01
al_pool/pool_059.wav,-0.8085,0.1252,-0.8085,0.1252,-1.0,0.1775,2026-07-03T10:43:20.514094,R01
al_pool/pool_067.wav,-0.9855,1.0,-0.9855,1.0,0.0,0.1593,2026-07-03T10:43:26.266786,R01
al_pool/pool_102.wav,-0.1949,0.1317,-0.1949,0.1317,0.0,0.3462,2026-07-03T10:43:33.790297,R01
al_pool/pool_031.wav,-1.0,-0.2603,-1.0,-0.2603,0.0,0.2093,2026-07-03T10:43:41.305846,R01
al_pool/pool_005.wav,-0.3681,0.9048,-0.3681,0.9048,-1.0,0.1804,2026-07-03T10:43:47.569587,R01
al_pool/pool_122.wav,-0.8882,1.0,-0.8882,1.0,0.0,0.3877,2026-07-03T10:43:53.648261,R01
al_pool/pool_054.wav,-0.507,1.0,-0.507,1.0,-1.0,0.1642,2026-07-03T10:43:57.836381,R01
al_pool/pool_035.wav,-0.5855,-0.61,-0.5855,-0.61,-1.0,0.1023,2026-07-03T10:44:01.823753,R01
al_pool/pool_021.wav,-1.0,0.8278,-1.0,0.8278,1.0,0.1976,2026-07-03T10:44:06.085227,R01
al_pool/pool_069.wav,-0.3699,-0.2697,-0.3699,-0.2697,1.0,0.2895,2026-07-03T10:44:13.320979,R01
al_pool/pool_056.wav,-0.5507,1.0,-0.5507,1.0,-1.0,0.1146,2026-07-03T10:44:19.287424,R01
al_pool/pool_080.wav,-1.0,0.8028,-1.0,0.8028,0.0,0.1726,2026-07-03T10:44:26.549746,R01
al_pool/pool_009.wav,-0.8458,1.0,-0.8458,1.0,0.0,0.0923,2026-07-03T10:44:35.032649,R01
al_pool/pool_089.wav,-0.3554,0.7942,-0.3554,0.7942,1.0,0.2453,2026-07-03T10:44:42.619846,R01
al_pool/pool_101.wav,-0.8817,-0.0475,-0.8817,-0.0475,1.0,0.2357,2026-07-03T10:44:53.507658,R01
al_pool/pool_099.wav,-0.5711,1.0,-0.5711,1.0,-1.0,0.1022,2026-07-03T10:44:58.097683,R01
al_pool/pool_142.wav,-0.6017,-0.5358,-0.6017,-0.5358,1.0,0.2416,2026-07-03T10:45:20.443846,R01
al_pool/pool_008.wav,-0.803,0.5584,-0.803,0.5584,0.0,0.2546,2026-07-03T10:45:28.593725,R01
al_pool/pool_025.wav,-0.5698,-0.0746,-0.5698,-0.0746,1.0,0.2811,2026-07-03T10:45:36.160509,R01
al_pool/pool_094.wav,-0.6724,1.0,-0.6724,1.0,-1.0,0.2044,2026-07-03T10:45:40.446022,R01
al_pool/pool_001.wav,-0.6073,0.6337,-0.6073,0.6337,1.0,0.2389,2026-07-03T10:45:45.876430,R01
al_pool/pool_141.wav,-0.9408,-0.0981,-0.9408,-0.0981,0.0,0.3436,2026-07-03T10:45:51.886944,R01
al_pool/pool_075.wav,-0.8321,1.0,-0.8321,1.0,-1.0,0.1978,2026-07-03T10:46:07.327487,R01
al_pool/pool_007.wav,-0.5714,1.0,-0.5714,1.0,0.0,0.119,2026-07-03T10:46:12.877764,R01
al_pool/pool_106.wav,-0.6197,-0.4042,-0.6197,-0.4042,1.0,0.5513,2026-07-03T10:46:19.308196,R01
al_pool/pool_088.wav,-0.4576,0.5662,-0.4576,0.5662,1.0,1.4369,2026-07-03T10:46:26.550466,R01
al_pool/pool_129.wav,-0.4891,0.281,-0.4891,0.281,0.0,0.2417,2026-07-03T10:46:35.272985,R01
al_pool/pool_016.wav,-0.8371,0.6876,-0.8371,0.6876,-1.0,0.4152,2026-07-03T10:46:41.868137,R01
al_pool/pool_034.wav,-0.6735,0.3846,-0.6735,0.3846,-1.0,0.1261,2026-07-03T10:46:46.839009,R01
al_pool/pool_104.wav,-0.938,0.1681,-0.938,0.1681,1.0,0.4367,2026-07-03T10:46:53.714711,R01
al_pool/pool_010.wav,-0.8147,1.0,-0.8147,1.0,0.0,0.7032,2026-07-03T10:46:58.106370,R01
al_pool/pool_092.wav,-0.3781,0.4357,-0.3781,0.4357,0.0,0.6122,2026-07-03T10:47:04.581519,R01
al_pool/pool_118.wav,-0.7008,0.6861,-0.7008,0.6861,-1.0,0.1078,2026-07-03T10:47:08.008717,R01
al_pool/pool_111.wav,-0.7144,0.1749,-0.7144,0.1749,0.0,0.2862,2026-07-03T10:47:14.856279,R01
al_pool/pool_149.wav,-0.6463,-0.0056,-0.6463,-0.0056,1.0,0.6453,2026-07-03T10:47:19.277797,R01
al_pool/pool_134.wav,-0.5622,0.7143,-0.5622,0.7143,-1.0,0.0962,2026-07-03T10:47:23.545003,R01
al_pool/pool_022.wav,-0.5925,1.0,-0.5925,1.0,-1.0,0.08,2026-07-03T10:47:27.586064,R01
al_pool/pool_143.wav,-0.5512,-0.2732,-0.5512,-0.2732,1.0,1.2268,2026-07-03T10:47:33.178668,R01
al_pool/pool_128.wav,-0.3811,0.5632,-0.3811,0.5632,-1.0,0.2213,2026-07-03T10:47:37.212949,R01
al_pool/pool_055.wav,-0.821,0.8222,-0.821,0.8222,-1.0,0.1491,2026-07-03T10:47:43.364545,R01
al_pool/pool_109.wav,-0.7507,0.2773,-0.7507,0.2773,0.0,0.096,2026-07-03T10:47:51.195128,R01
al_pool/pool_030.wav,-0.7107,-0.3329,-0.7107,-0.3329,1.0,0.1602,2026-07-03T10:47:54.703262,R01
al_pool/pool_019.wav,-0.9211,0.1093,-0.9211,0.1093,0.0,0.1624,2026-07-03T10:48:01.257696,R01
al_pool/pool_017.wav,-0.3586,0.2632,-0.3586,0.2632,-1.0,0.1225,2026-07-03T10:48:06.173502,R01
al_pool/pool_045.wav,-0.6173,-0.1537,-0.6173,-0.1537,0.0,0.9549,2026-07-03T10:48:12.928791,R01
al_pool/pool_063.wav,-0.9299,0.6612,-0.9299,0.6612,-1.0,0.1725,2026-07-03T10:48:18.932703,R01
al_pool/pool_085.wav,-0.9209,0.8343,-0.9209,0.8343,-1.0,0.1642,2026-07-03T10:48:26.284836,R01
al_pool/pool_113.wav,-0.8921,-0.1253,-0.8921,-0.1253,1.0,0.208,2026-07-03T10:48:33.003128,R01
al_pool/pool_049.wav,-0.7815,-0.0494,-0.7815,-0.0494,0.0,0.1517,2026-07-03T10:48:39.935619,R01
al_pool/pool_120.wav,-0.4857,-0.0652,-0.4857,-0.0652,-1.0,0.3062,2026-07-03T10:48:45.296726,R01
al_pool/pool_047.wav,-0.6598,0.2274,-0.6598,0.2274,1.0,0.2034,2026-07-03T10:48:49.764085,R01
al_pool/pool_117.wav,-0.4995,0.3564,-0.4995,0.3564,1.0,0.1841,2026-07-03T10:48:56.355236,R01
al_pool/pool_071.wav,-0.6077,1.0,-0.6077,1.0,-1.0,0.1055,2026-07-03T10:49:00.156286,R01
al_pool/pool_095.wav,-0.5894,0.9929,-0.5894,0.9929,1.0,0.0826,2026-07-03T10:49:07.455470,R01
al_pool/pool_147.wav,-0.8158,0.1444,-0.8158,0.1444,0.0,1.3841,2026-07-03T10:49:12.339481,R01
al_pool/pool_060.wav,-0.6284,1.0,-0.6284,1.0,0.0,0.2627,2026-07-03T10:49:17.140121,R01
al_pool/pool_130.wav,-0.6294,1.0,-0.6294,1.0,0.0,0.2217,2026-07-03T10:49:33.344063,R01
al_pool/pool_043.wav,-0.659,1.0,-0.659,1.0,-1.0,0.2524,2026-07-03T10:49:39.568024,R01
al_pool/pool_107.wav,-0.6238,-0.2272,-0.6238,-0.2272,0.0,0.1548,2026-07-03T10:49:45.891564,R01
al_pool/pool_127.wav,-0.6681,1.0,-0.6681,1.0,1.0,0.1155,2026-07-03T10:49:54.345256,R01
al_pool/pool_140.wav,-0.6574,-0.3821,-0.6574,-0.3821,0.0,1.1944,2026-07-03T10:50:00.859667,R01
al_pool/pool_108.wav,-0.5499,-0.262,-0.5499,-0.262,1.0,0.2317,2026-07-03T10:50:06.843444,R01
al_pool/pool_011.wav,-0.4322,0.4195,-0.4322,0.4195,1.0,0.113,2026-07-03T10:50:12.153544,R01
al_pool/pool_105.wav,-0.4924,0.5897,-0.4924,0.5897,0.0,0.7113,2026-07-03T10:50:17.101064,R01
al_pool/pool_139.wav,-0.4859,0.7198,-0.4859,0.7198,1.0,0.4073,2026-07-03T10:50:22.184966,R01
al_pool/pool_086.wav,-0.7088,-0.0499,-0.7088,-0.0499,-1.0,0.1525,2026-07-03T10:50:27.299272,R01
al_pool/pool_097.wav,-0.8759,0.679,-0.8759,0.679,-1.0,0.1039,2026-07-03T10:50:35.884406,R01
al_pool/pool_145.wav,-0.6579,0.4,-0.6579,0.4,0.0,0.238,2026-07-03T10:50:43.131749,R01
al_pool/pool_070.wav,-0.4478,0.4559,-0.4478,0.4559,0.0,0.3616,2026-07-03T10:50:50.358173,R01
al_pool/pool_096.wav,-0.5851,-0.2145,-0.5851,-0.2145,0.0,0.6193,2026-07-03T10:51:03.618535,R01
al_pool/pool_044.wav,-0.8209,0.115,-0.8209,0.115,-1.0,0.1229,2026-07-03T10:51:10.073145,R01
al_pool/pool_051.wav,-0.824,0.8345,-0.824,0.8345,0.0,0.2306,2026-07-03T10:51:15.295827,R01
al_pool/pool_098.wav,-0.6144,-0.0415,-0.6144,-0.0415,1.0,0.5218,2026-07-03T10:51:28.988819,R01
al_pool/pool_065.wav,-0.7397,0.2562,-0.7397,0.2562,-1.0,0.0846,2026-07-03T10:51:34.398800,R01
al_pool/pool_073.wav,-0.6324,0.6151,-0.6324,0.6151,1.0,0.1372,2026-07-03T10:51:40.963501,R01
al_pool/pool_024.wav,-0.7226,0.1696,-0.7226,0.1696,1.0,1.0949,2026-07-03T10:51:47.867001,R01
al_pool/pool_033.wav,-0.6962,0.3187,-0.6962,0.3187,0.0,0.1871,2026-07-03T10:51:54.207666,R01
al_pool/pool_144.wav,-0.543,0.734,-0.543,0.734,0.0,0.3498,2026-07-03T10:52:00.800588,R01
al_pool/pool_048.wav,-0.703,0.6369,-0.703,0.6369,-1.0,0.1079,2026-07-03T10:52:08.532801,R01
al_pool/pool_076.wav,-0.6664,0.2622,-0.6664,0.2622,1.0,0.3813,2026-07-03T10:52:14.941228,R01
al_pool/pool_112.wav,-0.6784,0.3059,-0.6784,0.3059,-1.0,0.1205,2026-07-03T10:52:20.143623,R01
al_pool/pool_013.wav,-0.5877,1.0,-0.5877,1.0,0.0,0.3334,2026-07-03T15:01:40.914758,R02
al_pool/pool_052.wav,-0.3821,-0.9582,-0.3821,-0.9582,0.0,0.4908,2026-07-03T15:01:48.725030,R02
al_pool/pool_074.wav,-1.0,-0.0702,-1.0,-0.0702,-1.0,0.2528,2026-07-03T15:01:55.451515,R02
al_pool/pool_083.wav,0.2442,-0.1267,0.2442,-0.1267,0.0,0.5591,2026-07-03T15:02:06.640972,R02
al_pool/pool_137.wav,-0.3666,0.2793,-0.3666,0.2793,-1.0,0.1341,2026-07-03T15:02:12.518704,R02
al_pool/pool_138.wav,-1.0,-0.8643,-1.0,-0.8643,0.0,0.2786,2026-07-03T15:02:18.894386,R02
al_pool/pool_148.wav,-1.0,0.5125,-1.0,0.5125,0.0,0.2331,2026-07-03T15:02:25.344659,R02
al_pool/pool_119.wav,-0.3805,-0.2719,-0.3805,-0.2719,0.0,0.281,2026-07-03T15:02:31.600059,R02
al_pool/pool_006.wav,-0.722,-0.5144,-0.722,-0.5144,-1.0,1.223,2026-07-03T15:02:37.818421,R02
al_pool/pool_002.wav,-1.0,1.0,-1.0,1.0,-1.0,1.111,2026-07-03T15:02:44.132065,R02
al_pool/pool_081.wav,-0.1781,0.5921,-0.1781,0.5921,-1.0,0.6303,2026-07-03T15:02:51.401246,R02
al_pool/pool_114.wav,-0.2545,1.0,-0.2545,1.0,-1.0,0.0669,2026-07-03T15:02:55.452166,R02
al_pool/pool_091.wav,-0.6206,0.5541,-0.6206,0.5541,-1.0,0.1313,2026-07-03T15:03:02.000553,R02
al_pool/pool_038.wav,-1.0,1.0,-1.0,1.0,-1.0,0.1038,2026-07-03T15:03:07.264482,R02
al_pool/pool_003.wav,-0.6396,0.0642,-0.6396,0.0642,-1.0,0.7766,2026-07-03T15:03:19.061179,R02
al_pool/pool_018.wav,-0.095,-0.2954,-0.095,-0.2954,0.0,0.6424,2026-07-03T15:03:26.844605,R02
al_pool/pool_064.wav,-1.0,-0.3534,-1.0,-0.3534,-1.0,0.1227,2026-07-03T15:03:33.615801,R02
al_pool/pool_132.wav,-0.1657,0.1242,-0.1657,0.1242,-1.0,0.3736,2026-07-03T15:03:39.413460,R02
al_pool/pool_041.wav,-0.4322,-0.6718,-0.4322,-0.6718,-1.0,0.2129,2026-07-03T15:03:43.284310,R02
al_pool/pool_015.wav,-0.6131,-0.881,-0.6131,-0.881,-1.0,1.4299,2026-07-03T15:03:51.374570,R02
al_pool/pool_100.wav,-1.0,0.2375,-1.0,0.2375,-1.0,0.1513,2026-07-03T15:03:56.168740,R02
al_pool/pool_055.wav,-0.821,0.8222,-0.821,0.8222,-1.0,0.1491,2026-07-03T15:04:00.990557,R02
al_pool/pool_115.wav,-0.7468,-0.1996,-0.7468,-0.1996,0.0,1.5415,2026-07-03T15:04:07.965049,R02
al_pool/pool_058.wav,-0.4844,0.7542,-0.4844,0.7542,-1.0,0.3245,2026-07-03T15:04:14.085687,R02
al_pool/pool_109.wav,-0.7507,0.2773,-0.7507,0.2773,0.0,0.096,2026-07-03T15:04:24.842932,R02
al_pool/pool_042.wav,-0.4227,0.0539,-0.4227,0.0539,0.0,0.5169,2026-07-03T15:04:34.249408,R02
al_pool/pool_121.wav,-0.3415,1.0,-0.3415,1.0,-1.0,0.097,2026-07-03T15:04:37.513178,R02
al_pool/pool_061.wav,-1.0,1.0,-1.0,1.0,0.0,0.4263,2026-07-03T15:04:41.739490,R02
al_pool/pool_078.wav,-1.0,1.0,-1.0,1.0,0.0,0.3649,2026-07-03T15:04:45.117891,R02
al_pool/pool_004.wav,-0.7195,-0.8178,-0.7195,-0.8178,-1.0,0.1007,2026-07-03T15:04:50.610933,R02
al_pool/pool_126.wav,-0.3908,1.0,-0.3908,1.0,0.0,0.7817,2026-07-03T15:04:57.463680,R02
al_pool/pool_031.wav,-1.0,-0.2603,-1.0,-0.2603,-1.0,0.2093,2026-07-03T15:05:05.276416,R02
al_pool/pool_067.wav,-0.9855,1.0,-0.9855,1.0,-1.0,0.1593,2026-07-03T15:05:09.207013,R02
al_pool/pool_123.wav,-1.0,-0.2376,-1.0,-0.2376,-1.0,0.149,2026-07-03T15:05:13.201639,R02
al_pool/pool_027.wav,-0.406,1.0,-0.406,1.0,-1.0,0.1375,2026-07-03T15:05:16.161718,R02
al_pool/pool_046.wav,-0.2381,0.4416,-0.2381,0.4416,0.0,0.8505,2026-07-03T15:05:21.637547,R02
al_pool/pool_053.wav,-1.0,0.1415,-1.0,0.1415,-1.0,1.434,2026-07-03T15:05:25.874728,R02
al_pool/pool_124.wav,-0.9449,-0.4675,-0.9449,-0.4675,-1.0,0.3187,2026-07-03T15:05:32.239017,R02
al_pool/pool_102.wav,-0.1949,0.1317,-0.1949,0.1317,-1.0,0.3462,2026-07-03T15:05:36.705442,R02
al_pool/pool_026.wav,-1.0,0.6284,-1.0,0.6284,0.0,0.8509,2026-07-03T15:05:44.960204,R02
al_pool/pool_069.wav,-0.3699,-0.2697,-0.3699,-0.2697,-1.0,0.2895,2026-07-03T15:05:48.992191,R02
al_pool/pool_005.wav,-0.3681,0.9048,-0.3681,0.9048,-1.0,0.1804,2026-07-03T15:05:52.161219,R02
al_pool/pool_122.wav,-0.8882,1.0,-0.8882,1.0,-1.0,0.3877,2026-07-03T15:05:58.861729,R02
al_pool/pool_035.wav,-0.5855,-0.61,-0.5855,-0.61,-1.0,0.1023,2026-07-03T15:06:02.062456,R02
al_pool/pool_103.wav,-0.9453,0.3118,-0.9453,0.3118,-1.0,0.0936,2026-07-03T15:06:07.813093,R02
al_pool/pool_077.wav,-0.2807,0.3394,-0.2807,0.3394,0.0,0.4853,2026-07-03T15:06:13.555325,R02
al_pool/pool_054.wav,-0.507,1.0,-0.507,1.0,-1.0,0.1642,2026-07-03T15:06:16.427523,R02
al_pool/pool_021.wav,-1.0,0.8278,-1.0,0.8278,-1.0,0.1976,2026-07-03T15:06:19.484198,R02
al_pool/pool_032.wav,-0.6313,-0.6243,-0.6313,-0.6243,-1.0,1.3882,2026-07-03T15:06:26.342451,R02
al_pool/pool_040.wav,-0.3351,0.83,-0.3351,0.83,-1.0,0.1723,2026-07-03T15:06:29.373565,R02
al_pool/pool_104.wav,-0.938,0.1681,-0.938,0.1681,-1.0,0.4367,2026-07-03T15:06:45.025029,R02
al_pool/pool_080.wav,-1.0,0.8028,-1.0,0.8028,-1.0,0.1726,2026-07-03T15:06:48.124685,R02
al_pool/pool_136.wav,-0.566,-0.5691,-0.566,-0.5691,-1.0,0.2663,2026-07-03T15:06:50.843379,R02
al_pool/pool_141.wav,-0.9408,-0.0981,-0.9408,-0.0981,-1.0,0.3436,2026-07-03T15:06:53.677121,R02
al_pool/pool_056.wav,-0.5507,1.0,-0.5507,1.0,-1.0,0.1146,2026-07-03T15:06:56.788988,R02
al_pool/pool_017.wav,-0.3586,0.2632,-0.3586,0.2632,-1.0,0.1225,2026-07-03T15:06:59.933568,R02
al_pool/pool_131.wav,-1.0,0.7596,-1.0,0.7596,-1.0,0.3175,2026-07-03T15:07:03.077453,R02
al_pool/pool_079.wav,-0.8392,-0.4515,-0.8392,-0.4515,-1.0,0.2381,2026-07-03T15:07:07.773641,R02
al_pool/pool_009.wav,-0.8458,1.0,-0.8458,1.0,-1.0,0.0923,2026-07-03T15:07:11.310572,R02
al_pool/pool_116.wav,-0.4763,-0.0804,-0.4763,-0.0804,-1.0,0.1954,2026-07-03T15:07:14.458774,R02
al_pool/pool_089.wav,-0.3554,0.7942,-0.3554,0.7942,-1.0,0.2453,2026-07-03T15:07:18.788561,R02
al_pool/pool_012.wav,-0.5391,-0.3714,-0.5391,-0.3714,0.0,0.3047,2026-07-03T15:07:24.214930,R02
al_pool/pool_092.wav,-0.3781,0.4357,-0.3781,0.4357,0.0,0.6122,2026-07-03T15:07:29.437934,R02
al_pool/pool_019.wav,-0.9211,0.1093,-0.9211,0.1093,-1.0,0.1624,2026-07-03T15:07:33.746362,R02
al_pool/pool_007.wav,-0.5714,1.0,-0.5714,1.0,-1.0,0.119,2026-07-03T15:07:36.781658,R02
al_pool/pool_075.wav,-0.8321,1.0,-0.8321,1.0,-1.0,0.1978,2026-07-03T15:07:44.062827,R02
al_pool/pool_093.wav,-0.8828,0.4544,-0.8828,0.4544,-1.0,0.111,2026-07-03T15:07:47.288480,R02
al_pool/pool_142.wav,-0.6017,-0.5358,-0.6017,-0.5358,-1.0,0.2416,2026-07-03T15:07:55.119506,R02
al_pool/pool_099.wav,-0.5711,1.0,-0.5711,1.0,-1.0,0.1022,2026-07-03T15:08:04.477579,R02
al_pool/pool_120.wav,-0.4857,-0.0652,-0.4857,-0.0652,0.0,0.3062,2026-07-03T15:08:09.817655,R02
